 SN,SUB_NO,IS_FRAUD,CELL_A,BN,AN_Cell_ID_Risk_area,CELL_LONGITUDE,CELL_LATITUDE,AN_Cloned-IMEI_Flag,BN_Unsuccessful_IDD_Call,BN_IDD_SMS
25,M46765021,1,6.36E+14,251Mi143166Mi7,FALSE,40.8654213,9.09004974,Cloned,0,0
26,M46765M12,1,6.36E+14,251Mi11241771,FALSE,40.8654213,9.09004974,Cloned,0,0
27,M45784587,1,6.36E+14,251Mi30011514,FALSE,40.8654213,9.09004974,Cloned,0,0
28,M45784567,1,6.36E+14,251Mi11647Mi26,FALSE,40.8654213,9.09004974,Cloned,0,0
29,M46765245,1,6.36E+14,251Mi40287855,FALSE,40.8654213,9.09004974,Cloned,0,0
30,M45785733,1,6.36E+14,251Mi1114Mi103,FALSE,40.8654213,9.09004974,Cloned,1,0
31,M46765005,1,6.36E+14,251Mi11146458,FALSE,40.8654213,9.09004974,Cloned,1,0
32,M45784708,1,6.36E+14,251Mi11136481,FALSE,40.8654213,9.09004974,Cloned,1,0
33,M46765M26,1,6.36E+14,251Mi21384885,FALSE,40.8654213,9.09004974,Cloned,1,0
34,M46765213,1,6.36E+14,251Mi11873144,FALSE,40.8654213,9.09004974,Cloned,0,0
35,M46765M12,1,6.36E+14,251Mi11216753,FALSE,40.8654213,9.09004974,Cloned,0,0
36,M45785718,1,6.36E+14,251Mi11218213,FALSE,40.8654213,9.09004974,Cloned,0,0
37,M46764M87,1,6.36E+14,251Mi2Mi3Mi5262,FALSE,40.8654213,9.09004974,Cloned,0,0
38,M467667M7,1,6.36E+14,251Mi43878856,FALSE,40.8654213,9.09004974,Cloned,0,0
39,M46765M12,1,6.36E+14,251Mi27701760,FALSE,40.8654213,9.09004974,Cloned,0,0
40,M4676588M,1,6.36E+14,251Mi11644030,FALSE,40.8654213,9.09004974,Cloned,0,0
41,M46764M87,1,6.36E+14,251Mi12130631,FALSE,40.8654213,9.09004974,Cloned,0,0
42,M45784588,1,6.36E+14,251Mi1114Mi103,FALSE,40.8654213,9.09004974,Cloned,0,0
43,M45784587,1,6.36E+14,251Mi41467815,FALSE,40.8654213,9.09004974,Cloned,0,0
44,M45784586,1,6.36E+14,251Mi35400Mi77,FALSE,40.8654213,9.09004974,Cloned,0,0
45,M457846M1,1,6.36E+14,251Mi20717664,TRUE,40.8654213,9.09004974,Cloned,0,0
46,M4578457M,1,6.36E+14,251Mi133Mi5472,TRUE,40.8654213,9.09004974,Cloned,0,0
47,M45784578,1,6.36E+14,251Mi116Mi2Mi3Mi,TRUE,40.8654213,9.09004974,Cloned,0,0
48,M45784573,1,6.36E+14,251Mi22Mi8MiMi60,TRUE,40.8654213,9.09004974,Cloned,0,0
49,M45784572,1,6.36E+14,251Mi11606055,TRUE,40.8654213,9.09004974,Cloned,0,0
50,M4578456M,1,6.36E+14,251Mi1164Mi670,TRUE,40.8654213,9.09004974,Cloned,0,0
51,M46765255,1,6.36E+14,251Mi116372Mi0,TRUE,40.8654213,9.09004974,Cloned,0,0
52,M46765245,1,6.36E+14,251Mi143166Mi7,TRUE,40.8654213,9.09004974,Cloned,0,0
53,M45785740,1,6.36E+14,251Mi112058Mi7,TRUE,40.8654213,9.09004974,Cloned,0,0
54,M45785733,1,6.36E+14,251Mi123Mi1225,TRUE,40.8654213,9.09004974,Cloned,0,0
55,M46765005,1,6.36E+14,251Mi1250174Mi,TRUE,40.8654213,9.09004974,Cloned,0,0
56,M46765206,1,6.36E+14,251Mi12751MiMi1,TRUE,40.8654213,9.09004974,Cloned,0,0
57,M45787M07,1,6.36E+14,251Mi30012542,TRUE,40.8654213,9.09004974,Cloned,0,0
58,M46765M26,1,6.36E+14,251Mi10515128,TRUE,40.8654213,9.09004974,Cloned,0,0
59,M46765021,1,6.36E+14,251Mi11600223,TRUE,40.8654213,9.09004974,Cloned,0,0
60,M46765M20,1,6.36E+14,251Mi30071065,TRUE,40.8654213,9.09004974,Cloned,0,0
61,M46765213,1,6.36E+14,251Mi13Mi33162,TRUE,40.8654213,9.09004974,Cloned,0,0
62,M46765M12,1,6.36E+14,251Mi114Mi1060,TRUE,40.8654213,9.09004974,Cloned,0,0
63,M46764M87,1,6.36E+14,251Mi12610022,TRUE,40.8657608,9.0801096,Cloned,0,0
64,M45784588,1,6.36E+14,251Mi136Mi70Mi7,TRUE,40.8657608,9.0801096,Cloned,0,0
65,M41641887,1,6.36E+14,251Mi12675537,TRUE,40.8657608,9.0801096,Cloned,0,0
66,M467667M7,1,6.36E+14,251Mi112474Mi1,TRUE,40.8657608,9.0801096,Cloned,0,0
67,M457846M6,1,6.36E+14,251Mi114Mi1061,TRUE,40.8657608,9.0801096,Cloned,0,0
68,M457846M1,1,6.36E+14,251Mi225Mi7336,TRUE,40.8657608,9.0801096,Cloned,0,0
69,M4578457M,1,6.36E+14,251Mi11311361,TRUE,40.8657608,9.0801096,Cloned,0,0
70,M45784578,1,6.36E+14,251Mi11146458,TRUE,40.8657608,9.0801096,Cloned,0,0
71,M45784573,1,6.36E+14,251Mi41472266,TRUE,40.8657608,9.0801096,Cloned,0,0
72,M45784572,1,6.36E+14,251Mi4748Mi310,TRUE,40.8657608,9.0801096,Cloned,0,0
73,M4578456M,1,6.36E+14,251Mi11647Mi26,TRUE,40.8657608,9.0801096,Cloned,0,0
74,M45784567,1,6.36E+14,251Mi27Mi4Mi341,TRUE,40.8657608,9.0801096,Cloned,0,0
75,M46765255,1,6.36E+14,251Mi11633308,TRUE,40.8657608,9.0801096,Cloned,0,0
76,M46765245,1,6.36E+14,251Mi30071163,TRUE,40.8657608,9.0801096,Cloned,0,0
77,M45785740,1,6.36E+14,251Mi24432021,TRUE,40.8657608,9.0801096,Cloned,0,0
78,M45785733,1,6.36E+14,251Mi3257MiMiMi5,TRUE,40.8657608,9.0801096,Cloned,0,0
79,M46766800,1,6.36E+14,251Mi32582387,TRUE,40.8657608,9.0801096,Cloned,0,0
80,M46765005,1,6.36E+14,251Mi11746103,TRUE,40.8657608,9.0801096,Cloned,0,0
81,M46765206,1,6.36E+14,251Mi12618534,TRUE,40.8657608,9.0801096,Cloned,0,0
82,M45787M05,1,6.36E+14,251Mi45362Mi80,TRUE,40.8657608,9.0801096,Cloned,0,0
83,M45784708,1,6.36E+14,251Mi20244351,TRUE,40.8657608,9.0801096,Cloned,0,0
84,M46765M26,1,6.36E+14,251Mi4675Mi338,TRUE,40.8657608,9.0801096,Cloned,0,0
85,M46766M2M,1,6.36E+14,251Mi45410Mi13,TRUE,40.8657608,9.0801096,Cloned,0,0
86,M46765M20,1,6.36E+14,251Mi5415773Mi,TRUE,40.8657608,9.0801096,Cloned,0,0
87,M46765213,1,6.36E+14,251Mi454Mi66Mi3,TRUE,40.8657608,9.0801096,Cloned,0,0
88,M46765M12,1,6.36E+14,251Mi63548833,TRUE,40.8657608,9.0801096,Cloned,0,0
89,M46765M10,1,6.36E+14,251Mi01374272,TRUE,40.8657608,9.0801096,Cloned,0,0
90,M4676588M,1,6.36E+14,251Mi0062Mi828,TRUE,40.8684998,9.0745697,Cloned,0,0
91,M46764M87,1,6.36E+14,251Mi2MiMi58377,TRUE,40.8684998,9.0745697,Cloned,0,0
92,M45784588,1,6.36E+14,251Mi11218213,TRUE,40.8684998,9.0745697,Cloned,0,0
93,M45784587,1,6.36E+14,251Mi30071065,TRUE,40.8684998,9.0745697,Cloned,0,0
94,M45784586,1,6.36E+14,251Mi12106070,TRUE,40.8684998,9.0745697,Cloned,0,0
95,M457846M6,1,6.36E+14,251Mi13Mi43748,TRUE,40.8684998,9.0745697,Cloned,0,0
96,M457846M1,1,6.36E+14,251Mi322Mi5Mi65,TRUE,40.8684998,9.0745697,Cloned,0,0
97,M4578457M,1,6.36E+14,251Mi143166Mi7,TRUE,40.8684998,9.0745697,Cloned,0,0
98,M45784578,1,6.36E+14,251Mi11241771,TRUE,40.8684998,9.0745697,Cloned,0,0
99,M45784573,1,6.36E+14,251Mi30011514,TRUE,40.8684998,9.0745697,Cloned,0,0
100,M45784572,1,6.36E+14,251Mi11647Mi26,TRUE,40.8684998,9.0745697,Cloned,0,0
101,M4578456M,1,6.36E+14,251Mi40287855,TRUE,40.8684998,9.0745697,Cloned,0,0
102,M45784567,1,6.36E+14,251Mi1114Mi103,TRUE,40.8684998,9.0745697,Cloned,0,0
103,M46765255,1,6.36E+14,251Mi11146458,TRUE,40.8684998,9.0745697,Cloned,0,0
104,M46765245,1,6.36E+14,251Mi11136481,TRUE,40.8684998,9.0745697,Cloned,0,0
105,M45785740,1,6.36E+14,251Mi21384885,TRUE,40.8684998,9.0745697,Cloned,0,0
106,M45785733,1,6.36E+14,251Mi11873144,TRUE,40.8684998,9.0745697,Cloned,0,0
107,M46766808,1,6.36E+14,251Mi11216753,TRUE,40.8684998,9.0745697,Cloned,0,0
108,M46766800,1,6.36E+14,251Mi11218213,TRUE,40.8684998,9.0745697,Cloned,0,0
109,M46765005,1,6.36E+14,251Mi2Mi3Mi5262,TRUE,40.8684998,9.0745697,Cloned,0,0
110,M45787M07,1,6.36E+14,251Mi43878856,TRUE,40.8684998,9.0745697,Cloned,0,0
111,M45787M05,1,6.36E+14,251Mi27701760,TRUE,40.8684998,9.0745697,Cloned,0,0
112,M45784708,1,6.36E+14,251Mi11644030,TRUE,40.8684998,9.0745697,Cloned,0,0
113,M46765021,1,6.36E+14,251Mi12130631,TRUE,40.8684998,9.0745697,Cloned,0,0
114,M46765M20,1,6.36E+14,251Mi1114Mi103,TRUE,40.8684998,9.0745697,Cloned,0,0
115,M46765M12,1,6.36E+14,251Mi41467815,TRUE,40.8684998,9.0745697,Cloned,0,0
116,M46765M10,1,6.36E+14,251Mi35400Mi77,TRUE,40.8684998,9.0745697,Cloned,0,0
117,M45785718,1,6.36E+14,251Mi20717664,TRUE,40.8684998,9.0745697,Cloned,0,0
118,M45784587,1,6.36E+14,251Mi133Mi5472,TRUE,40.8684998,9.0745697,Cloned,0,0
119,M45784578,1,6.36E+14,251Mi116Mi2Mi3Mi,TRUE,40.8684998,9.0745697,Cloned,0,0
120,M45784573,1,6.36E+14,251Mi22Mi8MiMi60,FALSE,40.8684998,9.0745697,Cloned,0,0
121,M4578456M,1,6.36E+14,251Mi11606055,FALSE,40.8684998,9.0745697,Cloned,0,0
122,M45784587,1,6.36E+14,Mi41251215,FALSE,40.8684998,9.0745697,Cloned,0,0
123,M4676588M,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
124,M46764M87,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
125,M45784588,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
126,M45784587,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
127,M45784586,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
128,M41641887,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
129,M467667M7,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
130,M457846M6,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
131,M457846M1,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
132,M45784578,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
133,M45784573,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
134,M45784572,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
135,M4578456M,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
136,M45784567,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
137,M46765255,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
138,M45785733,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
139,M46766808,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
140,M46766800,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
141,M45787M07,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
142,M45787M05,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
143,M45784708,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
144,M46765M26,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
145,M46765021,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
146,M46765M20,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
147,M46765213,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
148,M46765M12,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
149,M46765M10,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
150,M45785718,1,6.36E+14,Mi41251215,FALSE,40.8667603,9.06589031,Cloned,0,0
151,M46764M87,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
152,M45784586,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
153,M467667M7,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
154,M46765005,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
155,M46765M26,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
156,M46765213,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
157,M46765M12,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
158,M46764M87,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
159,M4578457M,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
160,M45784567,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
161,M46765005,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
162,M46765M26,1,6.36E+14,Mi41251215,FALSE,40.8604202,9.09755993,Cloned,0,0
163,M46765M12,1,6.36E+14,Mi41251215,TRUE,40.8604202,9.09755993,Cloned,0,0
164,M46764M87,1,6.36E+14,Mi41251215,TRUE,40.8604202,9.09755993,Cloned,0,0
165,M46765255,1,6.36E+14,Mi41251215,TRUE,40.8604202,9.09755993,Cloned,0,0
166,M46765M20,1,6.36E+14,Mi41251215,TRUE,40.8604202,9.09755993,Cloned,0,0
167,M46767885,1,6.36E+14,Mi41251215,TRUE,39.2806816,8.54001045,Cloned,0,0
168,M46768028,1,6.36E+14,Mi41251215,TRUE,39.2806816,8.54001045,Cloned,0,0
169,M46768021,1,6.36E+14,Mi41251215,TRUE,39.2806816,8.54001045,Cloned,0,0
170,M46767885,1,6.36E+14,Mi41251215,TRUE,39.2806816,8.54001045,Cloned,0,0
171,M46768028,1,6.36E+14,Mi41251215,TRUE,39.2806816,8.54001045,Cloned,0,0
172,M46768021,1,6.36E+14,Mi41251215,TRUE,39.2806816,8.54001045,Cloned,0,0
173,M45801102,1,6.36E+14,Mi41251215,TRUE,42.1399803,9.30545998,Cloned,0,0
174,M45M22087,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
175,M45M22083,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
176,M45M22081,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
177,M45M220M7,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
178,M45M220M2,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
179,M45M220M0,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
180,M45M21M71,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
181,M45M21M70,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
182,M45M2204M,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
183,M45M22102,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
184,M45M22101,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
185,M45M22100,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
186,M45M22083,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
187,M45M22081,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
188,M45M220MM,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
189,M45M220M7,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
190,M45M220M2,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
191,M45M2207M,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
192,M45M21M73,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
193,M45M21M71,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
194,M45M21M70,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
195,M45M2204M,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
196,M45M22100,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
197,M45M22087,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
198,M45M22083,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
199,M45M22082,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
200,M45M22081,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
201,M45M22080,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
202,M4535888M,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
203,M45358886,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
204,M45M220MM,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
205,M45M220M8,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
206,M45M220M7,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
207,M45M220M6,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
208,M45M220M2,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
209,M45M220M0,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
210,M45M2207M,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
211,M45M21M73,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
212,M45M21M72,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
213,M45M21M71,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
214,M45M21M70,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
215,M45358873,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
216,M45M2204M,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
217,M4578M434,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
218,M45M22105,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
219,M45M22104,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
220,M45M22102,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
221,M45M22101,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
222,M45M22100,1,6.36E+14,Mi41251215,TRUE,42.1210518,9.31173992,Cloned,0,0
223,M457M8787,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
224,M457M8786,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
225,M43M11381,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
226,M413M4M86,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
227,M467686M4,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
228,M467686M3,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
229,M467686M2,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
230,M467686M0,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
231,M417515M6,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
232,M45801170,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
233,M457M8775,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
234,M457M8772,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
235,M457M8771,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
236,M45233478,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
237,M45233477,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
238,M45233471,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
239,M4580116M,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
240,M45801168,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
241,M45801166,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
242,M45801164,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
243,M45801163,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
244,M45801162,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
245,M45801161,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
246,M41751161,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
247,M3840016M,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
248,M34857365,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
249,M34857164,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,0
250,M41078658,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
251,M41751551,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
252,M41751451,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
253,M45801146,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
254,M45763545,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
255,M45765648,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
256,M41544742,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
257,M41544741,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
258,M46768630,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
259,M4676870M,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
260,M46768707,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
261,M46768702,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
262,M45801102,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
263,M41067603,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
264,M4676862M,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
265,M4175122M,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
266,M41751521,1,6.36E+14,Mi41251215,TRUE,42.1352692,9.31023026,Cloned,0,1
267,M45M22087,1,6.36E+14,Mi41251215,TRUE,42.1153793,9.30214024,Cloned,0,1
268,M457M8775,1,6.36E+14,Mi41251215,TRUE,42.1153793,9.30214024,Cloned,0,1
269,M457M8775,1,6.36E+14,Mi41251215,TRUE,42.1153793,9.30214024,Cloned,0,1
270,M457M8771,1,6.36E+14,Mi41251215,TRUE,42.1153793,9.30214024,Cloned,0,1
